"Label (Grouping)","Brooklyn borough, Kings County, New York"
"Total:","2,736,074"
"    Hispanic or Latino","516,426"
"    Not Hispanic or Latino:","2,219,648"
"        Population of one race:","2,106,478"
"            White alone","968,427"
"            Black or African American alone","729,696"
"            American Indian and Alaska Native alone","3,964"
"            Asian alone","370,776"
"            Native Hawaiian and Other Pacific Islander alone","718"
"            Some Other Race alone","32,897"
"        Population of two or more races:","113,170"
"            Population of two races:","107,337"
"                White; Black or African American","17,416"
"                White; American Indian and Alaska Native","3,010"
"                White; Asian","31,572"
"                White; Native Hawaiian and Other Pacific Islander","460"
"                White; Some Other Race","12,490"
"                Black or African American; American Indian and Alaska Native","4,629"
"                Black or African American; Asian","3,849"
"                Black or African American; Native Hawaiian and Other Pacific Islander","506"
"                Black or African American; Some Other Race","29,418"
"                American Indian and Alaska Native; Asian","663"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","53"
"                American Indian and Alaska Native; Some Other Race","278"
"                Asian; Native Hawaiian and Other Pacific Islander","906"
"                Asian; Some Other Race","1,911"
"                Native Hawaiian and Other Pacific Islander; Some Other Race","176"
"            Population of three races:","5,178"
"                White; Black or African American; American Indian and Alaska Native","1,582"
"                White; Black or African American; Asian","890"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander","40"
"                White; Black or African American; Some Other Race","849"
"                White; American Indian and Alaska Native; Asian","204"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","14"
"                White; American Indian and Alaska Native; Some Other Race","47"
"                White; Asian; Native Hawaiian and Other Pacific Islander","384"
"                White; Asian; Some Other Race","346"
"                White; Native Hawaiian and Other Pacific Islander; Some Other Race","14"
"                Black or African American; American Indian and Alaska Native; Asian","142"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","17"
"                Black or African American; American Indian and Alaska Native; Some Other Race","174"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander","54"
"                Black or African American; Asian; Some Other Race","331"
"                Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","14"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","12"
"                American Indian and Alaska Native; Asian; Some Other Race","36"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"                Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","24"
"            Population of four races:","554"
"                White; Black or African American; American Indian and Alaska Native; Asian","188"
"                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","13"
"                White; Black or African American; American Indian and Alaska Native; Some Other Race","148"
"                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","16"
"                White; Black or African American; Asian; Some Other Race","103"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","3"
"                White; American Indian and Alaska Native; Asian; Some Other Race","12"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","10"
"                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"                Black or African American; American Indian and Alaska Native; Asian; Some Other Race","42"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","18"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Population of five races:","89"
"                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","56"
"                White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","28"
"                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            Population of six races:","12"
"                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","12"
